组合,ETF,累计收益,年化收益,夏普比率,最大回撤,卡尔玛比率,胜率,交易次数,数据起始,数据截止,数据天数
价纳创黄C8,"价值(512040), 纳指(513100), 创业板(159952), 黄金(518850)",6.755584125271836,0.4297209670386988,1.3669734937303488,-0.2525262426367166,26.752008245695073,0.5,210,2020-06-05,2026-05-22,3112
价纳创黄C7,"价值(512040), 纳指(513100), 创业板(159952), 黄金(518660)",6.848685573600926,0.43092495450892065,1.3666093427112525,-0.2526671898713257,27.10555959833453,0.5050505050505051,212,2020-05-29,2026-05-22,3112
价纳创黄C3,"价值(512040), 纳指(513100), 创业板(159952), 黄金(159937)",10.397980278391527,0.4029985530738329,1.31565761368177,-0.25123114421354853,41.388102223318135,0.504,266,2018-11-29,2026-05-22,3112
价纳创黄C5,"价值(512040), 纳指(513100), 创业板(159952), 黄金(518880)",10.06603887146641,0.3972404139353862,1.300598606825817,-0.25195809745548564,39.951241786324466,0.508,266,2018-11-29,2026-05-22,3114
价纳创黄C2,"价值(512040), 纳指(513100), 创业板(159952), 黄金(518800)",9.751440487123267,0.39164420305800984,1.2867448642642245,-0.2508557900677744,38.87269448510115,0.5099601593625498,266,2018-11-29,2026-05-22,3114
价纳创黄C6,"价值(512040), 纳指(513100), 创业板(159977), 黄金(518800)",6.597031269668841,0.37407791570654303,1.2221251265136222,-0.25714285080956595,25.655122236139672,0.5045454545454545,235,2019-09-27,2026-05-22,3114
价纳创黄C4,"价值(512040), 纳指(513100), 创业板(159915), 黄金(518800)",8.577459368882858,0.3694324970454683,1.220661330111515,-0.28379472424015995,30.224167809491142,0.5,264,2018-11-29,2026-05-22,3446
红纳创黄C,"红利低波(512890), 纳指(159941), 创业板(159952), 黄金(518800)",6.368388166458034,0.32740627262170996,1.0924372634397086,-0.276116270384548,23.064153943513578,0.5037878787878788,273,2019-01-18,2026-05-22,3114
价纳创黄C,"价值(512040), 纳指(159941), 创业板(159952), 黄金(518800)",6.390109159662193,0.32090764723006293,1.08742658258814,-0.2761162703845479,23.142820054619275,0.4867924528301887,281,2018-11-29,2026-05-22,3114
中价纳创黄C,"中证(512100), 价值(512040), 纳指(159941), 创业板(159952), 黄金(518800)",5.957036782015974,0.30985444710022914,1.0532056572552497,-0.2903994806490111,20.5132487451515,0.49473684210526314,300,2018-11-29,2026-05-22,3114
高增-全5星,"价值(512040), 纳指(513100), 有色(512400), 创业板(159952), 黄金(518800)",5.46753109652328,0.2966237578002424,0.9641767929612898,-0.3385447518339639,16.150098522882374,0.47440273037542663,308,2018-11-29,2026-05-22,3114
高增-纳色创金,"纳指(513100), 有色(512400), 创业板(159952), 黄金(518800)",4.95833347846595,0.23720797945153205,0.8283062882193373,-0.40882983360277303,12.128110697722619,0.44370860927152317,324,2017-09-01,2026-05-22,3114
高增-千指纳创,"中证1000(512100), 纳指(513100), 创业板(159952)",3.2974568333245298,0.1830307191266698,0.7125870579209003,-0.3788360455500739,8.70417921435271,0.42962962962962964,321,2017-05-19,2026-05-22,3112
高增-千指纳金,"中证1000(512100), 纳指(513100), 黄金(518800)",2.739457643455881,0.15424878686111354,0.685206248517764,-0.5708372263200949,4.799017157860934,0.4245614035087719,325,2016-11-04,2026-05-22,3114
全球核心6,"纳指(513100), 标普500(513500), 日经(513520), 德国(513030), 恒生(159920), 黄金(518800)",1.7936528550654005,0.16714723233764328,0.6693272434365993,-0.3151997202781377,5.690528067355676,0.4751552795031056,338,2019-06-25,2026-05-22,3298
全球高增长,"纳指(513100), 标普500(513500), 日经(513520), 黄金(518800), 有色(512400)",1.7134990062687026,0.16204666276579682,0.5933656915636039,-0.374370855629277,4.577009616276073,0.44680851063829785,297,2019-06-25,2026-05-22,3114
高增-千指创金,"中证1000(512100), 创业板(159952), 黄金(518800)",2.1009677383858163,0.1393557149765765,0.5784747809164275,-0.2706135661720183,7.7637191959929845,0.4216417910447761,314,2017-05-19,2026-05-22,3114
高成长弹性,"纳指(513100), 日经(513520), 有色(512400), 中证1000(512100), 创业板(159952), 黄金(518800)",1.3834474241562007,0.13959289916872275,0.5079596366422274,-0.49524602512013277,2.793454876938417,0.45901639344262296,322,2019-06-25,2026-05-22,3114
高增-千色创金,"中证1000(512100), 有色(512400), 创业板(159952), 黄金(518800)",0.6176195206622233,0.0590365643114632,0.27239066943462314,-0.5143046615720179,1.200882602880585,0.4043887147335423,362,2017-09-01,2026-05-22,3114
板块全明星,"消费(159928), 医药(512010), 证券(512880), 军工(512660), 新能源(516160), 半导体(512480), 有色(512400), 科创50(588000)",-0.18098613787932039,-0.038573987393111464,-0.01976033361368863,-0.6137943600653623,-0.2948644524202656,0.34347826086956523,265,2021-02-04,2026-05-22,3079
