date,红利低波,纳指,创业板,黄金
2022-08-15,,,1.595,
2022-08-16,0.823,0.713,1.611,3.755
2022-08-17,0.825,0.713,1.62,3.744
2022-08-18,0.82,0.704,1.628,3.72
2022-08-19,0.829,0.707,1.622,3.718
2022-08-22,0.835,0.694,1.622,3.713
2022-08-23,0.837,0.68,1.631,3.718
2022-08-24,0.831,0.677,1.588,3.737
2022-08-25,0.841,0.683,1.562,3.753
2022-08-26,0.845,0.692,1.557,3.75
2022-08-29,0.843,0.662,1.544,3.725
2022-08-30,0.847,0.664,1.527,3.747
2022-08-31,0.847,0.66,1.5,3.72
2022-09-01,0.863,0.647,1.503,3.689
2022-09-02,0.854,0.65,1.491,3.678
2022-09-05,0.867,0.644,1.485,3.716
2022-09-06,0.876,0.648,1.488,3.738
2022-09-07,0.879,0.642,1.509,3.713
2022-09-08,0.882,0.657,1.492,3.745
2022-09-09,0.894,0.661,1.489,3.741
2022-09-13,0.893,0.679,1.5,3.742
2022-09-14,0.882,0.645,1.467,3.719
2022-09-15,0.884,0.65,1.432,3.71
2022-09-16,0.874,0.638,1.406,3.691
2022-09-19,0.861,0.637,1.385,3.702
2022-09-20,0.858,0.645,1.395,3.716
2022-09-21,0.856,0.643,1.368,3.706
2022-09-22,0.855,0.628,1.365,3.712
2022-09-23,0.851,0.626,1.339,3.728
2022-09-26,0.847,0.621,1.379,3.694
2022-09-27,0.837,0.623,1.375,3.694
2022-09-28,0.846,0.62,1.367,3.717
2022-09-29,0.837,0.633,1.374,3.75
2022-09-30,0.837,0.612,1.358,3.746
2022-10-10,0.85,0.6,1.328,3.786
2022-10-11,0.839,0.602,1.335,3.77
2022-10-12,0.835,0.597,1.316,3.767
2022-10-13,0.841,0.596,1.39,3.771
2022-10-14,0.849,0.612,1.414,3.765
2022-10-17,0.841,0.595,1.419,3.747
2022-10-18,0.843,0.617,1.44,3.756
2022-10-19,0.841,0.626,1.434,3.762
2022-10-20,0.831,0.61,1.411,3.735
2022-10-21,0.838,0.613,1.409,3.736
2022-10-24,0.823,0.63,1.391,3.776
2022-10-25,0.814,0.642,1.375,3.788
2022-10-26,0.808,0.641,1.403,3.787
2022-10-27,0.808,0.633,1.386,3.772
2022-10-28,0.801,0.617,1.347,3.783
2022-10-31,0.78,0.642,1.342,3.757
2022-11-01,0.769,0.641,1.341,3.767
2022-11-02,0.787,0.633,1.39,3.778
2022-11-03,0.781,0.613,1.388,3.765
2022-11-04,0.796,0.602,1.43,3.762
2022-11-07,0.802,0.61,1.444,3.789
2022-11-08,0.803,0.612,1.425,3.801
2022-11-09,0.803,0.616,1.414,3.874
2022-11-10,0.799,0.607,1.387,3.885
2022-11-11,0.814,0.641,1.419,3.933
2022-11-14,0.828,0.642,1.406,3.884
2022-11-15,0.823,0.643,1.418,3.892
2022-11-16,0.823,0.646,1.418,3.907
2022-11-17,0.817,0.644,1.382,3.914
2022-11-18,0.816,0.646,1.414,3.912
2022-11-21,0.809,0.642,1.398,3.888
2022-11-22,0.82,0.637,1.399,3.887
2022-11-23,0.826,0.642,1.364,3.885
2022-11-24,0.827,0.652,1.374,3.907
2022-11-25,0.843,0.655,1.36,3.917
2022-11-28,0.838,0.646,1.34,3.916
2022-11-29,0.865,0.643,1.369,3.906
2022-11-30,0.869,0.635,1.375,3.899
2022-12-01,0.861,0.653,1.403,3.902
2022-12-02,0.848,0.653,1.403,3.935
2022-12-05,0.866,0.644,1.393,3.913
2022-12-06,0.86,0.636,1.41,3.86
2022-12-07,0.856,0.626,1.418,3.851
2022-12-08,0.862,0.626,1.414,3.865
2022-12-09,0.856,0.628,1.414,3.879
2022-12-12,0.842,0.623,1.418,3.878
2022-12-13,0.841,0.631,1.394,3.876
2022-12-14,0.841,0.639,1.393,3.919
2022-12-15,0.833,0.631,1.395,3.887
2022-12-16,0.839,0.615,1.392,3.864
2022-12-19,0.83,0.612,1.383,3.903
2022-12-20,0.821,0.607,1.367,3.896
2022-12-21,0.819,0.609,1.353,3.934
2022-12-22,0.819,0.613,1.36,3.942
2022-12-23,0.813,0.604,1.346,3.902
2022-12-26,0.809,0.604,1.365,3.906
2022-12-27,0.818,0.609,1.378,3.911
2022-12-28,0.821,0.602,1.377,3.93
2022-12-29,0.814,0.598,1.384,3.925
2022-12-30,0.819,0.602,1.384,3.937
2023-01-03,0.819,0.596,1.379,3.94
2023-01-04,0.828,0.598,1.376,3.957
2023-01-05,0.826,0.597,1.401,3.973
2023-01-06,0.828,0.597,1.429,3.927
2023-01-09,0.826,0.602,1.43,3.975
2023-01-10,0.822,0.602,1.439,3.966
2023-01-11,0.824,0.607,1.446,3.973
2023-01-12,0.82,0.616,1.438,3.974
2023-01-13,0.827,0.615,1.451,3.982
2023-01-16,0.833,0.613,1.5,4.015
2023-01-17,0.828,0.615,1.494,4.02
2023-01-18,0.833,0.618,1.493,4.014
